filename,width,height,class,xmin,ymin,xmax,ymax
00207.jpg,470,372,car,29,116,440,283
00135.jpg,3264,2448,car,74,755,2661,2151
00135.jpg,3264,2448,car,2,751,1356,1710
00135.jpg,3264,2448,car,2402,796,3038,1319
00135.jpg,3264,2448,car,3038,823,3264,1080
00141.jpg,480,360,car,14,105,472,268
00201.jpg,400,200,car,20,4,383,195
00305.jpg,200,134,car,43,18,170,124
00003.jpg,640,480,car,85,110,599,381
00291.jpg,600,600,car,28,149,570,454
00203.jpg,960,640,car,19,167,939,570
00247.jpg,900,540,car,40,118,856,479
00055.jpg,620,433,car,82,123,582,385
00159.jpg,1024,768,car,40,133,986,706
00159.jpg,1024,768,car,4,220,395,426
00134.jpg,270,187,car,4,2,266,182
00060.jpg,400,300,car,132,142,345,261
00060.jpg,400,300,car,11,141,116,204
00151.jpg,300,182,car,9,35,291,148
00196.jpg,300,225,car,31,44,264,200
00196.jpg,300,225,car,226,54,300,115
00196.jpg,300,225,car,4,44,86,102
00222.jpg,620,388,car,88,62,544,352
00188.jpg,1280,853,car,26,164,1218,776
00188.jpg,1280,853,car,456,125,1247,445
00242.jpg,280,210,car,11,50,272,167
00096.jpg,400,265,car,39,67,341,210
00096.jpg,400,265,car,316,59,400,133
00096.jpg,400,265,car,371,73,400,155
00096.jpg,400,265,car,192,67,270,103
00278.jpg,259,194,car,10,55,247,135
00278.jpg,259,194,car,171,48,196,76
00278.jpg,259,194,car,2,60,63,81
00162.jpg,600,450,car,37,65,545,378
00162.jpg,600,450,car,5,50,184,140
00162.jpg,600,450,car,199,90,282,128
00178.jpg,300,168,car,4,29,284,152
00248.jpg,595,445,car,75,172,500,382
00248.jpg,595,445,car,475,201,593,281
00248.jpg,595,445,car,2,199,277,305
00248.jpg,595,445,car,4,205,109,258
00103.jpg,640,480,car,87,110,605,378
00103.jpg,640,480,car,1,132,200,244
00103.jpg,640,480,car,155,151,273,195
00103.jpg,640,480,car,599,181,640,233
00023.jpg,500,270,car,14,28,472,229
00268.jpg,640,426,car,54,49,594,397
00066.jpg,259,194,car,30,37,221,126
00232.jpg,600,444,car,14,105,547,390
00160.jpg,625,350,car,114,46,549,283
00319.jpg,575,431,car,32,10,564,402
00290.jpg,800,532,car,73,23,612,508
00047.jpg,1600,1200,car,99,253,1093,900
00087.jpg,467,234,car,15,35,454,215
00008.jpg,639,480,car,70,81,597,389
00008.jpg,639,480,car,4,114,113,205
00008.jpg,639,480,car,451,103,638,294
00174.jpg,259,194,car,13,30,246,156
00179.jpg,640,480,car,44,115,600,433
00179.jpg,640,480,car,2,225,56,272
00259.jpg,2592,1944,car,97,233,2519,1904
00259.jpg,2592,1944,car,1640,211,2592,1347
00259.jpg,2592,1944,car,8,208,351,633
00152.jpg,630,335,car,21,63,499,313
00286.jpg,1024,768,car,111,141,758,731
00286.jpg,1024,768,car,876,278,1024,529
00286.jpg,1024,768,car,5,365,147,469
00286.jpg,1024,768,car,761,352,894,496
00091.jpg,640,480,car,49,59,494,417
00091.jpg,640,480,car,74,56,135,98
00091.jpg,640,480,car,357,52,417,104
00091.jpg,640,480,car,444,54,493,97
00091.jpg,640,480,car,502,66,640,161
00091.jpg,640,480,car,517,56,567,85
00292.jpg,960,300,car,136,66,812,269
00276.jpg,640,480,car,75,90,529,362
00276.jpg,640,480,car,406,113,640,269
00110.jpg,600,398,car,20,27,575,381
00300.jpg,1024,768,car,45,101,993,692
00198.jpg,600,450,car,93,120,573,356
00198.jpg,600,450,car,446,78,600,216
00198.jpg,600,450,car,187,76,291,118
00007.jpg,640,480,car,77,76,542,401
00007.jpg,640,480,car,22,64,153,140
00007.jpg,640,480,car,1,66,58,151
00007.jpg,640,480,car,146,76,262,145
00007.jpg,640,480,car,523,103,596,237
00007.jpg,640,480,car,555,157,640,429
00098.jpg,640,426,car,66,35,581,363
