filename,width,height,class,xmin,ymin,xmax,ymax
00003.jpg,640,480,car,85,110,599,381
00055.jpg,620,433,car,82,123,582,385
00060.jpg,400,300,car,132,142,345,261
00060.jpg,400,300,car,11,141,116,204
00096.jpg,400,265,car,39,67,341,210
00096.jpg,400,265,car,316,59,400,133
00096.jpg,400,265,car,371,73,400,155
00096.jpg,400,265,car,192,67,270,103
00103.jpg,640,480,car,87,110,605,378
00103.jpg,640,480,car,1,132,200,244
00103.jpg,640,480,car,155,151,273,195
00103.jpg,640,480,car,599,181,640,233
00023.jpg,500,270,car,14,28,472,229
00066.jpg,259,194,car,30,37,221,126
00047.jpg,1600,1200,car,99,253,1093,900
00087.jpg,467,234,car,15,35,454,215
00008.jpg,639,480,car,70,81,597,389
00008.jpg,639,480,car,4,114,113,205
00008.jpg,639,480,car,451,103,638,294
00091.jpg,640,480,car,49,59,494,417
00091.jpg,640,480,car,74,56,135,98
00091.jpg,640,480,car,357,52,417,104
00091.jpg,640,480,car,444,54,493,97
00091.jpg,640,480,car,502,66,640,161
00091.jpg,640,480,car,517,56,567,85
00110.jpg,600,398,car,20,27,575,381
00007.jpg,640,480,car,77,76,542,401
00007.jpg,640,480,car,22,64,153,140
00007.jpg,640,480,car,1,66,58,151
00007.jpg,640,480,car,146,76,262,145
00007.jpg,640,480,car,523,103,596,237
00007.jpg,640,480,car,555,157,640,429
00098.jpg,640,426,car,66,35,581,363
00083.jpg,300,225,car,56,60,293,198
00077.jpg,3552,2153,car,52,159,3504,2059
00101.jpg,1024,768,car,69,38,938,736
00101.jpg,1024,768,car,126,5,269,68
00101.jpg,1024,768,car,24,10,126,71
00101.jpg,1024,768,car,409,7,480,39
00101.jpg,1024,768,car,572,18,671,51
00084.jpg,640,480,car,28,75,611,460
00084.jpg,640,480,car,2,150,127,290
00084.jpg,640,480,car,89,155,177,204
00078.jpg,640,480,car,32,85,614,413
00088.jpg,2592,1944,car,175,177,2385,1746
00088.jpg,2592,1944,car,119,184,985,752
00088.jpg,2592,1944,car,4,199,366,399
00088.jpg,2592,1944,car,2079,202,2572,584
00035.jpg,1258,816,car,235,98,1084,664
00070.jpg,1600,1200,car,218,311,1042,983
00016.jpg,640,480,car,30,54,609,401
00016.jpg,640,480,car,292,44,314,60
00016.jpg,640,480,car,334,48,361,63
00016.jpg,640,480,car,381,48,414,64
00016.jpg,640,480,car,488,54,537,76
00089.jpg,1024,768,car,64,223,975,553
00100.jpg,480,360,car,24,182,450,356
00100.jpg,480,360,car,1,197,131,269
00100.jpg,480,360,car,308,17,476,104
00043.jpg,596,417,car,9,51,585,365
00064.jpg,1024,768,car,104,52,923,689
00027.jpg,630,418,car,80,107,602,335
00046.jpg,786,492,car,25,82,752,474
00054.jpg,1600,1200,car,65,564,1525,1083
00032.jpg,500,375,car,17,32,471,343
00075.jpg,550,286,car,46,74,520,259
00058.jpg,260,194,car,9,36,252,169
00076.jpg,300,187,car,11,25,285,165
00067.jpg,640,480,car,124,88,597,427
00067.jpg,640,480,car,439,132,551,181
00067.jpg,640,480,car,113,127,143,170
00067.jpg,640,480,car,140,118,189,167
00067.jpg,640,480,car,551,133,634,175
00067.jpg,640,480,car,530,132,580,157
00067.jpg,640,480,car,620,142,640,168
00067.jpg,640,480,car,81,125,99,142
00097.jpg,78,58,car,5,11,74,48
00018.jpg,200,147,car,11,18,183,139
00026.jpg,628,417,car,33,173,597,377
00082.jpg,640,480,car,64,112,597,412
00093.jpg,275,183,car,23,52,257,139
00085.jpg,640,480,car,14,82,626,406
00085.jpg,640,480,car,174,61,299,95
00085.jpg,640,480,car,423,59,617,223
00085.jpg,640,480,car,2,39,49,221
00039.jpg,640,425,car,55,108,615,343
00039.jpg,640,425,car,1,151,125,243
00028.jpg,620,412,car,45,115,585,373
00005.jpg,144,108,car,17,34,128,95
00020.jpg,1000,650,car,19,282,957,595
00013.jpg,500,335,car,30,37,417,302
00013.jpg,500,335,car,10,35,72,95
00013.jpg,500,335,car,119,29,188,64
00057.jpg,1200,498,car,258,130,973,442
00090.jpg,300,225,car,4,42,294,207
00090.jpg,300,225,car,4,73,35,88
00090.jpg,300,225,car,43,72,70,83
00090.jpg,300,225,car,268,59,299,105
00090.jpg,300,225,car,1,67,22,86
00109.jpg,259,194,car,20,14,248,175
00109.jpg,259,194,car,1,27,31,72
00040.jpg,750,469,car,217,112,657,393
00036.jpg,580,250,car,137,42,520,214
00009.jpg,1280,843,car,18,115,1266,767
00105.jpg,1024,768,car,57,259,968,642
00105.jpg,1024,768,car,98,322,324,430
00105.jpg,1024,768,car,888,322,1001,468
00044.jpg,659,439,car,218,188,538,367
00017.jpg,259,194,car,40,55,232,143
00052.jpg,808,424,car,39,27,774,395
00038.jpg,480,360,car,15,90,458,326
00002.jpg,900,675,car,67,140,835,590
00014.jpg,800,600,car,26,242,779,531
00071.jpg,643,305,car,10,14,635,298
00004.jpg,2100,1386,car,589,388,1514,1085
00107.jpg,276,182,car,23,18,247,170
00042.jpg,640,452,car,31,61,614,365
00042.jpg,640,452,car,374,93,640,272
00042.jpg,640,452,car,534,105,640,168
00042.jpg,640,452,car,607,109,640,132
00030.jpg,896,592,car,86,110,866,520
00048.jpg,813,541,car,221,77,750,426
00049.jpg,1600,1067,car,171,544,893,933
00025.jpg,604,453,car,35,87,540,341
00059.jpg,640,480,car,76,90,601,336
00059.jpg,640,480,car,4,105,158,276
00059.jpg,640,480,car,145,130,255,182
00059.jpg,640,480,car,589,134,640,179
00010.jpg,640,480,car,26,115,618,354
00063.jpg,1032,774,car,179,339,923,629
00034.jpg,640,480,car,38,63,612,401
00034.jpg,640,480,car,1,82,52,249
00034.jpg,640,480,car,593,104,640,150
00029.jpg,1600,1200,car,29,156,1552,1128
00092.jpg,600,338,car,99,85,491,271
00065.jpg,500,361,car,66,177,407,310
00015.jpg,640,424,car,43,70,584,361
00001.jpg,600,400,car,41,117,570,382
00073.jpg,320,240,car,14,12,314,223
00022.jpg,2100,1386,car,181,530,1904,1120
00050.jpg,580,407,car,22,98,559,334
00011.jpg,640,424,car,47,101,602,395
00031.jpg,1024,768,car,56,317,442,548
00095.jpg,1280,782,car,104,174,1210,675
00037.jpg,640,425,car,27,91,614,337
00037.jpg,640,425,car,202,24,231,40
00037.jpg,640,425,car,73,28,248,93
00037.jpg,640,425,car,265,33,285,49
00099.jpg,510,383,car,30,58,484,348
00051.jpg,640,480,car,41,181,610,467
00053.jpg,500,375,car,160,189,422,305
00053.jpg,500,375,car,44,174,244,255
00053.jpg,500,375,car,340,169,447,230
00053.jpg,500,375,car,432,172,500,232
00053.jpg,500,375,car,34,164,77,182
00053.jpg,500,375,car,1,163,30,178
00053.jpg,500,375,car,85,167,146,197
00053.jpg,500,375,car,216,165,249,185
00053.jpg,500,375,car,246,163,288,191
00053.jpg,500,375,car,288,164,329,190
00053.jpg,500,375,car,330,161,374,191
00053.jpg,500,375,car,362,156,383,171
00053.jpg,500,375,car,385,157,417,178
00053.jpg,500,375,car,418,155,461,178
00053.jpg,500,375,car,430,165,471,192
00053.jpg,500,375,car,183,162,218,179
00053.jpg,500,375,car,153,154,173,166
00053.jpg,500,375,car,222,154,247,168
00053.jpg,500,375,car,267,155,283,166
00053.jpg,500,375,car,90,155,112,168
00033.jpg,1024,768,car,33,197,1006,644
00033.jpg,1024,768,car,6,182,124,282
00033.jpg,1024,768,car,103,169,144,200
00033.jpg,1024,768,car,168,174,191,192
00033.jpg,1024,768,car,9,168,68,194
00033.jpg,1024,768,car,69,171,104,194
00033.jpg,1024,768,car,307,170,357,194
00033.jpg,1024,768,car,838,163,974,226
00033.jpg,1024,768,car,712,204,972,323
00033.jpg,1024,768,car,692,185,815,228
00033.jpg,1024,768,car,462,165,568,198
00033.jpg,1024,768,car,560,167,666,214
00006.jpg,575,431,car,258,290,516,416
00104.jpg,480,360,car,1,73,478,287
00106.jpg,300,225,car,69,75,233,156
00106.jpg,300,225,car,41,86,130,130
00106.jpg,300,225,car,13,94,81,125
00106.jpg,300,225,car,1,96,51,127
00069.jpg,800,533,car,144,127,672,411
00079.jpg,750,469,car,166,124,744,416
00079.jpg,750,469,car,133,198,163,226
00079.jpg,750,469,car,148,196,182,223
00062.jpg,450,280,car,22,24,421,261
00102.jpg,480,360,car,100,131,397,229
00072.jpg,1280,850,car,100,265,1184,758
00019.jpg,1500,938,car,242,274,1363,776
00080.jpg,300,224,car,25,21,289,213
00094.jpg,786,491,car,19,60,783,425
00024.jpg,1024,768,car,50,147,970,609
00012.jpg,500,315,car,5,62,497,277
00086.jpg,1500,920,car,122,309,1411,895
00074.jpg,320,240,car,16,8,310,228
00074.jpg,320,240,car,1,66,29,95
00021.jpg,750,469,car,16,157,696,378
00041.jpg,640,480,car,59,56,568,401
00041.jpg,640,480,car,544,91,640,155
00041.jpg,640,480,car,514,95,605,154
00041.jpg,640,480,car,487,97,549,147
00041.jpg,640,480,car,467,101,523,151
00041.jpg,640,480,car,456,100,487,136
00045.jpg,500,375,car,11,108,490,297
00056.jpg,500,315,car,31,48,470,269
00081.jpg,550,301,car,8,54,540,277
00061.jpg,1023,764,car,15,109,1009,732
00068.jpg,640,438,car,36,44,592,346
00108.jpg,212,159,car,10,28,207,141
