filename,width,height,class,xmin,ymin,xmax,ymax
cldi_352.png,300,300,car logo,143,76,193,126
00207.jpg,470,372,car logo,211,188,227,200
00779.jpg,600,400,car logo,104,211,131,232
cldi_125.png,300,300,car logo,74,64,120,99
cldi_789.png,300,300,car logo,73,88,96,114
00135.jpg,3264,2448,car logo,79,1483,220,1642
cldi_792.png,300,300,car logo,6,98,56,151
cldi_733.png,300,300,car logo,27,76,74,126
00489.jpg,500,313,car logo,135,158,163,176
cldi_114.png,300,300,car logo,72,38,112,84
cldi_265.png,300,300,car logo,61,149,106,178
00964.jpg,400,300,car logo,305,176,335,196
cldi_697.png,300,300,car logo,9,33,29,57
cldi_7.png,300,300,car logo,149,44,192,88
cldi_606.png,300,300,car logo,102,11,144,58
cldi_535.png,300,300,car logo,15,49,49,83
00201.jpg,400,200,car logo,38,124,76,151
00357.jpg,440,317,car logo,98,122,127,139
cldi_685.png,300,300,car logo,7,128,59,178
cldi_672.png,300,300,car logo,90,55,135,81
cldi_257.png,300,300,car logo,102,106,150,129
00305.jpg,200,134,car logo,87,77,131,89
00771.jpg,640,426,car logo,551,176,589,217
00771.jpg,640,426,car logo,457,81,485,115
cldi_48.png,300,300,car logo,70,73,98,96
cldi_573.png,300,300,car logo,84,8,121,51
cldi_50.png,300,300,car logo,1,104,50,155
cldi_383.png,300,300,car logo,92,87,137,115
00610.jpg,2048,1536,car logo,597,646,717,718
cldi_773.png,300,300,car logo,43,77,73,100
cldi_559.png,300,300,car logo,95,64,133,113
cldi_473.png,300,300,car logo,69,75,109,117
cldi_367.png,300,300,car logo,10,66,51,101
cldi_671.png,300,300,car logo,62,71,108,90
cldi_102.png,300,300,car logo,53,74,114,134
cldi_42.png,300,300,car logo,137,109,159,127
00581.jpg,1280,863,car logo,1006,469,1050,526
00724.jpg,300,182,car logo,149,77,167,92
cldi_284.png,300,300,car logo,82,68,121,86
cldi_388.png,300,300,car logo,28,67,72,92
cldi_499.png,300,300,car logo,25,151,64,192
00291.jpg,600,600,car logo,81,282,116,315
cldi_492.png,300,300,car logo,98,28,132,59
cldi_242.png,300,300,car logo,60,97,103,126
00203.jpg,960,640,car logo,782,267,834,306
cldi_745.png,300,300,car logo,108,97,158,130
00247.jpg,900,540,car logo,783,262,807,286
cldi_322.png,300,300,car logo,100,31,139,59
00433.jpg,1022,763,car logo,174,334,222,392
00657.jpg,275,184,car logo,190,69,203,80
cldi_537.png,300,300,car logo,95,135,149,170
cldi_342.png,300,300,car logo,91,111,148,162
cldi_691.png,300,300,car logo,41,149,59,162
00872.jpg,510,338,car logo,149,191,177,206
00762.jpg,618,418,car logo,86,241,103,254
cldi_212.png,300,300,car logo,69,66,116,89
00159.jpg,1024,768,car logo,59,378,145,455
00159.jpg,1024,768,car logo,666,1,730,42
