filename,width,height,class,xmin,ymin,xmax,ymax
107.png,364,160,character,34,32,64,81
107.png,364,160,character,68,21,100,86
107.png,364,160,character,102,30,135,93
107.png,364,160,character,135,34,167,96
107.png,364,160,character,170,48,199,101
107.png,364,160,character,201,57,236,105
107.png,364,160,character,248,42,273,94
107.png,364,160,character,276,49,299,98
107.png,364,160,character,299,50,327,103
229.png,440,134,character,52,55,90,108
229.png,440,134,character,99,44,138,110
229.png,440,134,character,139,48,179,113
229.png,440,134,character,188,51,223,115
229.png,440,134,character,232,66,268,118
229.png,440,134,character,275,67,312,121
229.png,440,134,character,330,51,363,98
229.png,440,134,character,366,50,397,100
314.png,194,86,character,14,29,36,59
314.png,194,86,character,37,22,56,63
314.png,194,86,character,55,25,73,64
314.png,194,86,character,74,30,92,68
314.png,194,86,character,95,38,113,67
314.png,194,86,character,114,40,134,70
314.png,194,86,character,140,30,155,63
314.png,194,86,character,155,33,171,64
314.png,194,86,character,171,35,187,65
37.png,358,164,character,46,44,73,90
37.png,358,164,character,76,36,100,91
37.png,358,164,character,104,35,127,95
37.png,358,164,character,134,40,153,98
37.png,358,164,character,159,55,184,102
37.png,358,164,character,187,58,212,104
37.png,358,164,character,225,46,245,91
37.png,358,164,character,247,49,269,94
37.png,358,164,character,270,50,293,96
166.png,402,142,character,47,41,83,91
166.png,402,142,character,88,34,124,92
166.png,402,142,character,126,35,161,95
166.png,402,142,character,164,42,200,100
166.png,402,142,character,202,54,240,102
166.png,402,142,character,241,52,284,105
166.png,402,142,character,296,45,323,90
166.png,402,142,character,323,45,350,87
166.png,402,142,character,351,47,381,89
137.png,410,154,character,55,45,88,89
137.png,410,154,character,98,37,121,92
137.png,410,154,character,122,38,157,96
137.png,410,154,character,159,39,190,97
137.png,410,154,character,193,52,225,104
137.png,410,154,character,227,51,258,101
137.png,410,154,character,272,40,295,91
137.png,410,154,character,295,40,322,94
137.png,410,154,character,323,41,350,95
252.png,808,226,character,126,163,196,226
252.png,808,226,character,199,130,269,226
252.png,808,226,character,274,121,346,213
252.png,808,226,character,347,116,417,207
252.png,808,226,character,419,118,494,200
252.png,808,226,character,492,105,567,190
252.png,808,226,character,582,80,632,153
252.png,808,226,character,632,67,683,145
252.png,808,226,character,686,62,735,141
219.png,386,162,character,45,50,79,103
219.png,386,162,character,85,44,112,108
219.png,386,162,character,115,50,148,112
219.png,386,162,character,151,52,184,114
219.png,386,162,character,187,68,218,118
219.png,386,162,character,222,72,255,122
219.png,386,162,character,269,60,295,110
219.png,386,162,character,296,64,321,114
219.png,386,162,character,324,65,351,116
52.png,278,86,character,22,27,48,60
52.png,278,86,character,50,18,75,63
52.png,278,86,character,76,18,102,65
52.png,278,86,character,102,18,133,66
52.png,278,86,character,135,28,160,67
52.png,278,86,character,160,28,188,72
52.png,278,86,character,196,17,221,55
52.png,278,86,character,220,18,242,54
52.png,278,86,character,241,18,264,55
283.png,274,124,character,25,39,51,78
283.png,274,124,character,55,32,81,80
283.png,274,124,character,81,36,107,83
283.png,274,124,character,111,37,134,87
283.png,274,124,character,137,48,161,87
283.png,274,124,character,162,48,188,89
283.png,274,124,character,200,40,219,81
283.png,274,124,character,220,42,240,81
283.png,274,124,character,242,40,264,83
176.png,418,128,character,39,39,72,90
176.png,418,128,character,77,32,118,92
176.png,418,128,character,118,35,157,93
176.png,418,128,character,158,36,198,99
176.png,418,128,character,199,48,238,99
176.png,418,128,character,239,48,279,101
176.png,418,128,character,291,35,319,84
176.png,418,128,character,321,35,352,87
176.png,418,128,character,351,33,380,82
231.png,700,144,character,77,89,137,144
231.png,700,144,character,142,69,211,144
231.png,700,144,character,216,63,282,144
231.png,700,144,character,290,59,353,144
231.png,700,144,character,356,69,421,136
231.png,700,144,character,427,65,490,135
231.png,700,144,character,512,36,559,104
231.png,700,144,character,559,36,613,101
231.png,700,144,character,614,31,660,97
359.png,344,100,character,60,54,89,95
359.png,344,100,character,91,44,120,91
359.png,344,100,character,121,41,154,88
359.png,344,100,character,152,41,180,85
359.png,344,100,character,182,46,208,85
359.png,344,100,character,209,40,241,82
359.png,344,100,character,247,26,266,66
359.png,344,100,character,265,25,288,61
359.png,344,100,character,287,25,311,58
174.png,406,150,character,41,49,73,94
174.png,406,150,character,77,44,109,96
174.png,406,150,character,116,47,150,100
174.png,406,150,character,153,44,186,103
174.png,406,150,character,190,64,221,111
174.png,406,150,character,224,66,260,110
174.png,406,150,character,273,55,297,99
174.png,406,150,character,296,56,326,104
174.png,406,150,character,327,53,355,102
338.png,330,116,character,34,39,61,82
338.png,330,116,character,63,30,94,87
338.png,330,116,character,95,30,124,87
338.png,330,116,character,123,32,154,87
338.png,330,116,character,158,47,186,94
338.png,330,116,character,185,47,218,93
338.png,330,116,character,228,35,251,80
338.png,330,116,character,252,35,277,81
354.png,394,170,character,40,47,73,99
354.png,394,170,character,74,43,110,106
354.png,394,170,character,112,44,147,113
354.png,394,170,character,146,47,183,112
354.png,394,170,character,184,68,219,118
354.png,394,170,character,221,68,261,122
354.png,394,170,character,272,61,298,105
354.png,394,170,character,300,58,330,105
354.png,394,170,character,328,61,358,108
